Constituency,Const.No.,Leading Candidate,Leading Party,Leading Won in,Trailing Candidate,Trailing Party,Trailing Won in,Margin
Amalapuram (SC),7,G M HARISH (BALAYOGI),Telugu Desam,16,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,4,342196
Anakapalle,5,C.M.RAMESH,Bharatiya Janata Party,3,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,4,296530
Ananthapur,19,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,16,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,4,188555
Araku (ST),1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,4,KOTHAPALLI GEETHA,Const.No.,3,50580
Bapatla (SC),15,KRISHNA PRASAD TENNETI,Telugu Desam,16,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,4,208031
Chittoor(SC),25,DAGGUMALLA PRASADA RAO,Telugu Desam,16,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,4,220479
Eluru,10,PUTTA MAHESH KUMAR,Telugu Desam,16,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,4,181857
Guntur,13,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,16,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,4,344695
Hindupur,20,B K PARTHASARATHI,Telugu Desam,16,J SHANTHA,Yuvajana Sramika Rythu Congress Party,4,132427
Kadapa,21,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,4,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,16,62695
Kakinada,6,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,2,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,4,229491
Kurnoolu,18,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,16,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,4,111298
Machilipatnam,11,BALASHOWRY VALLABHANENI,Janasena Party,2,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,4,223179
Nandyal,17,DR BYREDDY SHABARI,Telugu Desam,16,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,4,111975
Narsapuram,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,3,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,4,276802
Narsaraopet,14,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,16,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,4,159729
Nellore,22,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,16,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,4,245902
Ongole,16,MAGUNTA SREENIVASULU REDDY,Telugu Desam,16,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,4,50199
Rajahmundry,8,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,3,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,4,239139
Rajampet,24,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,4,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,3,76071
